key	ja	en
common.back	戻る	Back
common.next	次へ	Next
common.skip	スキップ	Skip
common.start	はじめる	Start
common.complete	完了	Done
common.cancel	キャンセル	Cancel
common.confirm	確認	Confirm
common.delete	削除	Delete
common.save	保存	Save
common.loading	読み込み中...	Loading...
common.error	エラーが発生しました	Something went wrong
common.retry	もう一度試す	Try again
nav.home	ホーム	Home
nav.lessons	レッスン	Lessons
nav.profile	プロフィール	Profile
home.welcomeTitle	Logic へようこそ	Welcome to Logic
home.welcomeDesc	ロジカルシンキング・ケース面接・クリティカルシンキングを 3 分から学べます。今日の 1 問から始めよう →	Master logical thinking in 3-minute lessons. Start with today\'s problem →
home.welcomeBadge	START	START
home.continueTitle	続きから	Continue learning
home.placementTitle	偏差値 {score} のおすすめ	For your level ({score})
home.todayProblem	今日の1問	Today\'s problem
home.todayProblemDone	✓ 完了	✓ Done
home.todayProblemNew	NEW	NEW
home.todayProblemLoading	準備中...	Loading...
home.streakDays	日連続学習中	day streak
home.streakStart	今日から始めよう	Start today
home.completedLessons	完了レッスン	Completed
home.totalStudyTime	総学習時間	Study time
home.flashcardTitle	今日のおすすめ	Recommended for today
home.flashcardEmpty	レッスンを完了するとカードが作られます	Complete a lesson to create flashcards
home.flashcardDue	{count}枚の復習待ち	{count} cards to review
home.flashcardDone	今日の復習完了!	All caught up for today!
home.aiGenTitle	AIに問題を作ってもらう	AI-generated problems
home.aiGenDesc	あなた専用の練習問題を生成	Practice problems tailored to you
home.roleplayTitle	AIロールプレイで練習	AI roleplay practice
home.roleplayDesc	論理思考フレームワークを実務シーンで	Use logic frameworks in real workplace scenarios
home.coffeebreakTitle	コーヒーブレイク	Coffee Break
home.coffeebreakDesc	3分で読める日常シーンの小話	3-minute everyday-life logic stories
home.fermiTitle	フェルミ推定	Fermi estimation
home.fermiDesc	分解思考を実践する練習	Practice decomposition thinking
home.badgeNew	NEW	NEW
home.badgeRec	REC	REC
onboarding.slide1.title	ロジカルシンキングを毎日 3 分で	Logical thinking, 3 minutes a day
onboarding.slide1.body	MECE・ロジックツリー・演繹/帰納・形式論理。ビジネスで使える論理思考のフレームワークを、短いレッスンで体系的に学べます。	MECE, logic trees, deduction & induction, formal logic — the frameworks consultants and analysts use, learned in short, focused lessons.
onboarding.slide2.title	AI が「あなた専用」で練習相手に	AI as your personal sparring partner
onboarding.slide2.body	ロールプレイ、フェルミ推定、AI 問題生成、コーヒーブレイクの日常シーン。座学だけでなく、実践しながら身につけられます。	Roleplay scenarios, Fermi estimation, AI problem generation, coffee-break stories. Learn by doing, not just reading.
onboarding.slide3.title	まずは偏差値テストで現在地を知る	Start with a placement test
onboarding.slide3.body	8 問のプレイスメントテストであなたの論理思考レベルを判定し、あなたに合った学習ルートをおすすめします。3 分で終わります。	8 questions in about 3 minutes. We\'ll find your current level and recommend the right learning path for you.
onboarding.toPlacement	プレイスメントテストへ	Take placement test
placement.title	プレイスメントテスト	Placement Test
placement.lead	あなたの論理思考力を 8 問でチェックします。所要時間は約 3 分。\n結果から偏差値を出し、レベルに合ったおすすめレッスンを表示します。	Test your logical thinking with 8 questions in about 3 minutes.\nWe\'ll calculate your score and recommend lessons that match your level.
placement.questionCount	{count} 問・約 3 分	{count} questions · ~3 min
placement.topicLine	MECE / 演繹 / 帰納 / 形式論理	MECE / Deduction / Induction / Formal logic
placement.nicknameLabel	ランキング表示名	Ranking display name
placement.nicknamePlaceholder	ニックネーム	Nickname
placement.startButton	はじめる	Start
placement.skipButton	あとでやる	Skip for now
placement.questionPrefix	Q{n} / {total}	Q{n} of {total}
placement.correct	✓ 正解	✓ Correct
placement.wrong	✗ 不正解	✗ Incorrect
placement.nextQuestion	次の問題へ	Next question
placement.viewResult	結果を見る	See results
placement.resultTitle	あなたの偏差値	Your score
placement.correctCount	{correct} / {total} 問正解	{correct} of {total} correct
placement.recommended	あなたへのおすすめレッスン	Recommended lessons for you
placement.recommendedDesc	レベルに合わせて、この順番で学ぶのがおすすめです。	Learn in this order, matched to your level.
placement.beginButton	始める	Begin
profile.title	プロフィール	Profile
profile.deviation	📊 偏差値を見る	📊 Your stats
profile.theme	🎨 テーマ設定	🎨 Theme
profile.ranking	🏆 偏差値ランキング	🏆 Ranking
profile.privacy	📄 プライバシーポリシー	📄 Privacy Policy
profile.terms	📑 利用規約	📑 Terms of Service
profile.tokushoho	📜 特定商取引法に基づく表記	📜 Specified Commercial Transaction Act (JP)
profile.deleteData	🗑 全データを削除	🗑 Delete all data
profile.deleteConfirm	全ての学習データ・偏差値・ニックネーム・テーマ設定を削除します。\n\nこの操作は取り消せません。本当に削除しますか?	This will delete all your learning data, score, nickname, and theme settings.\n\nThis cannot be undone. Are you sure?
profile.deleteSuccess	全データを削除しました。アプリを再読み込みします。	All data deleted. Reloading the app.
profile.feedback	💡 ご要望・フィードバック	💡 Send feedback
profile.planLabel	プラン	Plan
profile.planBeta	ベータ版 — 全機能無料	Beta — all features free
profile.reminder	🔔 今日の1問リマインダー	🔔 Daily problem reminder
profile.reminderTime	毎日の通知時刻	Notification time
profile.reminderWebNote	(アプリ版でのみ通知が届きます)	(notifications work in the app version only)
profile.reminderNoPermission	通知の許可が必要です。設定アプリから Logic の通知を許可してください。	Notification permission is required. Please enable notifications for Logic in your settings.
profile.languageTitle	言語	Language
profile.languageJa	日本語	日本語
profile.languageEn	English	English
category.logical	ロジカルシンキング	Logical Thinking
lesson.completedH1	レッスン完了！	Lesson complete!
lesson.completedScoreLine	{correct} / {total} 問正解	{correct} of {total} correct
lesson.completedPerfect	パーフェクト！素晴らしい理解力です。	Perfect! Excellent understanding.
lesson.completedGood	よくできました！復習して完璧にしましょう。	Well done! Review to lock it in.
lesson.completedRetry	もう一度復習してみましょう！	Try this lesson again!
lesson.backHome	ホームに戻る	Back to home
lesson.nextLesson	次のレッスンへ	Next lesson
lesson.next	次へ	Next
lesson.viewResult	結果を見る	See results
lesson.correctMark	正解！	Correct!
lesson.wrongMark	不正解...	Incorrect...
lesson.report	🚩 この問題を報告	🚩 Report this question
roleplay.title	AIロールプレイ	AI Roleplay
roleplay.heading	論理思考を実務で使う練習	Practice logical thinking in real scenarios
roleplay.lead	ビジネスシーンでMECE・Why So/So What・ピラミッド原則・ロジックツリーを使い、AI相手に練習しよう。	Use MECE, So What/Why So, Pyramid Principle, and Logic Trees in business situations against an AI counterpart.
roleplay.quotaPrefix	無料: 今月の残り	Free this month:
roleplay.partnerLabel	相手:	Counterpart:
roleplay.notFound	シチュエーション未検出	Scenario not found
roleplay.finish	終了	End
roleplay.turnIndicator	ターン {n}/{total}	Turn {n} of {total}
roleplay.thinking	考え中...	Thinking...
roleplay.you	あなた	You
roleplay.choicesLabel	あなたの返答を選んでください	Choose your response
roleplay.commError	(通信エラーが発生しました)	(A network error occurred)
roleplay.resultTitle	結果	Results
roleplay.scoring	採点中...	Scoring...
roleplay.scoreH3	採点	Score
roleplay.overallH4	総評	Overall feedback
roleplay.summaryH3	振り返り	Summary
roleplay.goodPointsH4	👍 良かった点	👍 Strong points
roleplay.improvementsH4	💡 改善ポイント	💡 Areas to improve
roleplay.backToList	シチュエーション一覧へ	Back to scenarios
coffeebreak.title	コーヒーブレイク	Coffee Break
coffeebreak.heading	日常で使える論理思考	Logical thinking for everyday life
coffeebreak.lead	パートナー・買い物・旅行・友達との会話。仕事じゃない場面で論理思考がどう効くか、3 分のクイズで体験。	Partners, shopping, travel, conversations with friends — try a 3-minute quiz to see how logic helps outside of work.
fermi.title	フェルミ推定	Fermi Estimation
fermi.context	フェルミ推定は、MECE やロジックツリーで学んだ分解思考を実際に使う練習です。正確な答えより、	Fermi estimation puts the decomposition skills from MECE and logic trees to real use. 
fermi.contextStrong	どう考えたかのプロセス	How you broke it down
fermi.contextEnd	が大切です。	 matters more than the exact answer.
fermi.questionTag	QUESTION	QUESTION
fermi.hint	💡 まずは自分なりに分解してみましょう。提出後に概算解と計算ロジックも提示します。	💡 Decompose the problem in your own way. After you submit, you\'ll see the worked answer and logic.
fermi.thinkButton	考えてみる	Start thinking
fermi.placeholder	例:\n人口 × 1 世帯あたり人数 × コンビニ利用世帯率 × 1 日の来客数...\n\n思ったように分解してみてください。式でも箇条書きでも OK。	Example:\nUS population × households per capita × Starbucks visit rate × daily customers...\n\nDecompose however you like — formulas or bullet points are both fine.
fermi.submitButton	AI にフィードバックをもらう	Get AI feedback
fermi.submitting	フィードバックを生成中...	Generating feedback...
fermi.backButton	戻る	Back
fermi.recapLabel	あなたの分解	Your decomposition
fermi.upsellH	もっと練習したい?	Want more practice?
fermi.upsellBody	プレミアムなら毎日新しい AI 生成問題でこの体験を続けられます (¥500/月)。	Premium gives you fresh AI-generated problems every day ($5/month).
fermi.upsellBtn	プレミアムを試す (7 日間無料)	Try Premium (7 days free)
fermi.nextAi	次の AI 生成問題へ	Next AI-generated problem
fermi.generating	生成中...	Generating...
fermi.tryAnother	別の問題を試す	Try another problem
fermi.relatedLabel	関連レッスン	Related lessons
fermi.relatedDecompose	分解をもっと磨きたい → ロジックツリー(レッスン一覧から)	Sharpen decomposition → Logic Tree (in Lessons)
fermi.relatedMece	網羅性を確認したい → MECE(レッスン一覧から)	Check exhaustiveness → MECE (in Lessons)
fermi.errorFeedback	フィードバックの取得に失敗しました。もう一度試してください。	Failed to fetch feedback. Please try again.
fermi.errorQuestion	AI 問題の生成に失敗しました	Failed to generate an AI problem
theme.title	テーマ設定	Theme
theme.modeSection	背景モード	Background mode
theme.customSection	カスタムカラー	Custom color
theme.accentSection	アクセントカラー	Accent color
theme.customHint	入力した色がアクセントカラーとして即座に反映されます	The color is applied immediately as your accent
theme.contrastH	ボタン文字の読みやすさ	Button text readability
theme.contrastDetail	白文字 × この色 = コントラスト比 {ratio}:1 ({label})	White text × this color = contrast {ratio}:1 ({label})
theme.contrastWarn	⚠ この色は背景に白文字を重ねると読みにくいため、ボタン上の文字色は自動的に黒に切り替わります(WCAG AA 基準維持)	⚠ White text on this color is hard to read, so button labels are automatically switched to black to keep WCAG AA compliance.
theme.accentContrastH	ℹ アクセントカラーの読みやすさ	ℹ Accent color readability
theme.accentContrastDetail	白文字 × {name} = {ratio}:1 ({label})	White text × {name} = {ratio}:1 ({label})
theme.accentContrastNote	ボタン上の文字は自動的に読みやすい色に調整されます(WCAG AA 基準)	Button text is automatically adjusted for readability (WCAG AA).
theme.customDisabled	カスタムモード使用中はアクセントカラーは無効です	Accent color is disabled while in custom mode
theme.currentAccent	現在: {name}	Current: {name}
theme.upgrade	プレミアムにアップグレード →	Upgrade to Premium →
theme.mode.light.name	ライト	Light
theme.mode.light.desc	明るく落ち着いたクリーム系	Bright, calm cream tones
theme.mode.dark.name	ダーク	Dark
theme.mode.dark.desc	目に優しい暗色背景	Easy on the eyes
theme.mode.enterprise.name	エンタープライズ	Enterprise
theme.mode.enterprise.desc	ネイビー×シルバーの信頼感	Navy and silver — confident
theme.mode.startup.name	スタートアップ	Startup
theme.mode.startup.desc	ビビッドなグリーン×オレンジ	Vivid green and orange
theme.mode.custom.name	カスタムカラー	Custom color
theme.mode.custom.desc	好きな色を HEX で指定	Pick any color via HEX
theme.accent.orange	オレンジ	Orange
theme.accent.blue	インディゴ	Indigo
theme.accent.purple	パープル	Purple
theme.accent.green	グリーン	Green
theme.accent.pink	ピンク	Pink
theme.accent.cyan	シアン	Cyan
rank.title	ランク	Rank
rank.totalPoints	合計ポイント	Total Points
rank.completedLessons	完了レッスン	Lessons done
rank.howToEarn	ポイントのかせぎ方	How to earn points
rank.earn.lesson	レッスン完了	Complete a lesson
rank.earn.studyMin	学習時間	Study time
rank.allRanks	全ランク一覧	All ranks
language.description	言語を選択すると即座に切り替わります。	The app will switch immediately after you select a language.
completed.title	完了レッスン	Completed Lessons
completed.lessonsDone	完了したレッスン	lessons completed
completed.empty	まだレッスンを完了していません	No lessons completed yet
studytime.title	総学習時間	Study Time
studytime.totalLabel	合計学習時間	Total Study Time
studytime.studyDays	学習日数	Study Days
studytime.avgPerDay	1日平均	Avg / Day
studytime.last30Days	過去30日	Last 30 Days
studytime.last30Chart	過去30日の学習状況	Activity — last 30 days
studytime.recentDays	最近7日間	Recent 7 days
streak.title	連続学習記録	Streak
streak.currentLabel	日間連続学習	day streak
streak.dayStreak	日間連続学習	Day Streak
streak.weekStreak	週間連続学習	Week Streak
